Row Labels;01/07/2021;02/07/2021;03/07/2021;04/07/2021;05/07/2021;06/07/2021;07/07/2021;08/07/2021;09/07/2021;10/07/2021;11/07/2021;12/07/2021;13/07/2021;14/07/2021;15/07/2021;16/07/2021;17/07/2021;18/07/2021;19/07/2021;20/07/2021;21/07/2021;22/07/2021;23/07/2021;24/07/2021;25/07/2021;26/07/2021;27/07/2021;28/07/2021;29/07/2021;30/07/2021;31/07/2021;01/08/2021;02/08/2021;03/08/2021;04/08/2021;05/08/2021;06/08/2021;07/08/2021;08/08/2021;09/08/2021;10/08/2021;11/08/2021;12/08/2021;13/08/2021;14/08/2021;15/08/2021;16/08/2021;17/08/2021;18/08/2021;19/08/2021;20/08/2021;21/08/2021;22/08/2021;23/08/2021;24/08/2021;25/08/2021;26/08/2021;27/08/2021;28/08/2021;29/08/2021;30/08/2021;31/08/2021;01/09/2021;02/09/2021;03/09/2021;04/09/2021;05/09/2021;06/09/2021;07/09/2021;08/09/2021;09/09/2021;10/09/2021;11/09/2021;12/09/2021;13/09/2021;14/09/2021;15/09/2021;16/09/2021;17/09/2021;18/09/2021;19/09/2021;20/09/2021;21/09/2021;22/09/2021;23/09/2021;24/09/2021;25/09/2021;26/09/2021;27/09/2021;28/09/2021;29/09/2021;30/09/2021;01/10/2021;02/10/2021;03/10/2021;04/10/2021;05/10/2021;06/10/2021;07/10/2021;08/10/2021;09/10/2021;10/10/2021;11/10/2021;12/10/2021;13/10/2021;14/10/2021;15/10/2021;16/10/2021;17/10/2021;18/10/2021;19/10/2021;20/10/2021;21/10/2021;22/10/2021;23/10/2021;24/10/2021;25/10/2021;26/10/2021;27/10/2021;28/10/2021;29/10/2021;30/10/2021;31/10/2021
KAB. TASIKMALAYA;19;27;0;0;51;45;33;61;1;0;0;58;0;84;78;59;59;23;56;35;27;66;47;39;22;26;32;40;27;33;31;29;41;46;52;50;46;20;46;27;25;23;29;51;31;51;38;25;38;65;47;36;29;19;41;45;21;25;15;18;11;16;20;14;10;10;13;8;6;13;6;15;18;8;6;7;11;11;6;3;6;3;6;6;8;15;3;3;1;1;1;23;4;3;4;2;6;4;0;2;4;0;4;2;3;3;1;1;0;1;1;0;0;2;0;0;1;0;1;8;0;0;1
KOTA BANDUNG;187;289;240;291;206;386;570;349;324;232;297;514;828;673;523;544;599;356;358;265;203;657;640;384;330;197;359;456;319;286;343;242;110;210;225;224;186;193;93;153;177;195;97;123;245;96;100;114;78;114;161;156;183;70;128;90;85;68;53;68;76;63;83;74;48;51;40;35;39;69;51;36;43;31;10;29;33;35;47;25;15;13;16;6;24;14;6;13;6;6;9;11;11;13;3;13;8;4;16;15;2;5;7;5;9;8;7;3;10;1;9;9;1;8;18;12;3;11;21;27;100;48;55
KOTA BANJAR;43;56;47;54;42;52;72;39;86;61;52;101;0;93;37;50;31;27;54;57;57;40;163;42;4;57;118;54;46;84;29;7;38;58;22;29;30;9;31;27;32;12;11;45;8;11;49;13;6;25;21;7;23;11;30;7;16;19;5;6;1;8;2;9;4;3;1;0;6;3;6;10;1;5;0;1;4;1;1;2;1;0;4;2;1;2;2;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;2;1;4;1;0;0;0;1;0;0;0;0
KOTA BEKASI;78;9;35;34;32;58;112;66;52;73;127;443;0;747;822;819;790;522;513;295;513;866;694;470;123;192;532;534;567;482;390;161;139;0;385;492;222;238;83;109;228;179;94;113;112;41;40;81;49;210;98;74;49;32;121;109;124;69;48;24;24;72;46;22;36;31;12;8;76;58;20;37;10;10;5;8;8;12;5;15;13;7;10;7;8;10;3;3;6;5;5;12;5;9;7;2;2;4;3;3;7;5;2;1;4;2;7;8;3;0;2;12;4;11;6;5;3;2;4;1;3;0;0
KOTA BOGOR;15;4;8;18;24;20;7;52;16;23;10;20;0;17;21;31;44;23;17;21;10;26;4;36;18;4;10;13;10;8;17;4;3;11;6;19;11;6;7;3;9;12;7;20;14;5;0;5;2;1;7;4;2;0;3;3;1;3;3;34;5;31;37;47;17;13;22;14;10;17;50;10;27;11;8;10;5;8;11;4;3;4;2;8;4;4;5;6;2;5;5;2;0;2;6;2;1;2;2;3;4;3;0;3;4;5;1;1;3;3;3;2;1;1;1;2;1;2;5;3;1;5;0
KOTA CIMAHI;25;2;0;0;0;0;45;12;60;0;0;507;0;364;271;282;259;85;133;109;54;172;159;206;51;112;187;113;86;105;39;23;27;121;62;70;64;21;15;26;58;28;26;68;40;9;41;24;26;32;29;20;9;29;27;21;17;20;15;10;10;14;25;13;9;5;3;5;14;8;7;6;8;5;2;3;6;7;2;2;1;1;2;3;4;3;0;0;0;4;4;2;1;2;2;0;6;3;4;3;1;0;0;1;5;0;2;0;2;2;0;2;3;1;0;1;3;0;3;1;1;2;7
KOTA CIREBON;12;76;120;140;103;92;72;83;97;93;67;115;0;347;244;147;228;141;44;63;141;195;274;152;35;43;110;201;48;135;71;31;31;124;112;53;63;33;19;10;50;29;14;25;5;14;9;26;9;10;7;8;6;9;6;7;7;8;8;4;4;11;3;9;6;5;2;4;5;3;3;4;4;1;0;3;5;2;0;1;1;0;5;4;2;1;0;2;0;1;4;0;2;0;0;1;0;1;1;0;0;0;1;2;0;0;0;1;1;0;1;0;0;0;1;1;2;0;1;0;3;0;1
KOTA DEPOK;458;179;240;410;852;297;768;152;200;279;192;887;0;1218;1136;823;828;665;668;500;1013;826;779;565;553;315;995;1283;666;532;413;310;259;569;457;403;541;286;184;250;1037;230;192;364;203;231;531;115;256;207;318;121;107;91;3409;3346;3417;110;91;67;45;99;98;68;49;40;39;39;34;54;36;49;35;45;25;23;28;23;30;17;23;5;16;18;20;10;20;7;7;10;16;11;11;8;13;8;6;10;6;3;11;8;12;30;8;10;7;20;8;2;14;39;6;7;7;10;4;3;5;8;3;5;6
KOTA SUKABUMI;142;95;53;57;42;71;79;80;80;66;37;100;0;137;72;69;85;25;6;58;20;34;56;49;21;20;57;79;60;64;17;14;17;18;31;17;140;18;16;6;41;30;14;28;19;10;11;12;2;13;18;8;3;12;25;36;17;8;4;2;6;14;18;8;8;8;2;7;10;5;12;16;6;0;3;9;6;3;4;2;0;2;5;9;3;1;0;1;7;3;6;1;1;1;0;0;0;1;2;0;4;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;1;0;2;1;1;0
KOTA TASIKMALAYA;254;99;123;65;19;120;112;204;232;130;169;128;0;194;188;124;112;59;221;67;235;123;220;66;87;186;154;112;82;65;46;41;44;39;49;60;179;43;35;7;55;31;7;50;35;12;6;27;15;32;39;21;11;7;14;11;18;22;16;3;3;13;43;12;8;9;5;5;9;4;8;3;19;7;2;4;8;9;6;3;5;6;5;7;19;19;6;1;4;2;3;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;12;0;1;0;0;1;3;0;1;0;1;0;0;0;0;0
